year|bib|age_group|gender|country|overall|rank_gender|rank_age_group|5k|10k|15k|20k|half|25k|30k|35k|40k|finish
 2014|25|18-39|M|ETH|23|18|18|954.0|1917.0|2876.0|3864.0|4081.0|4850.0|5915.0|7005.0|8108.0|8602.0
 2014|16|18-39|M|GBR|17|17|17|908.0|1840.0|2767.0|3702.0|3904.0|4626.0|5594.0|6660.0|7888.0|8395.0
 2014|12|18-39|M|ERI|16|16|16|880.0|1778.0|2690.0|3595.0|3794.0|4520.0|5490.0|6514.0|7816.0|8350.0
 2014|29|18-39|M|GBR|15|15|15|926.0|1891.0|2869.0|3833.0|4041.0|4792.0|5778.0|6785.0|7819.0|8264.0
 2014|19|18-39|M|ESP|14|14|14|924.0|1869.0|2805.0|3751.0|3956.0|4687.0|5644.0|6621.0|7616.0|8055.0
 2014|17|18-39|M|CAN|13|13|13|909.0|1842.0|2769.0|3703.0|3905.0|4626.0|5567.0|6546.0|7570.0|8020.0
 2014|11|18-39|M|UGA|12|12|12|880.0|1778.0|2690.0|3622.0|3828.0|4552.0|5483.0|6459.0|7450.0|7897.0
 2014|28|18-39|M|GBR|11|11|11|909.0|1841.0|2767.0|3703.0|3905.0|4626.0|5564.0|6504.0|7451.0|7879.0
 2014|18|18-39|M|USA|10|10|10|909.0|1842.0|2768.0|3703.0|3905.0|4627.0|5564.0|6503.0|7449.0|7857.0
 2014|7|18-39|M|ETH|9|9|9|862.0|1753.0|2647.0|3556.0|3751.0|4440.0|5343.0|6279.0|7259.0|7706.0
 2014|26|18-39|M|GBR|8|8|8|888.0|1796.0|2690.0|3595.0|3788.0|4487.0|5405.0|6341.0|7293.0|7701.0
 2014|3|18-39|M|KEN|7|7|7|862.0|1752.0|2646.0|3555.0|3751.0|4440.0|5346.0|6302.0|7292.0|7699.0
 2014|4|18-39|M|KEN|6|6|6|862.0|1752.0|2646.0|3555.0|3751.0|4439.0|5342.0|6241.0|7232.0|7698.0
 2014|6|18-39|M|ETH|5|5|5|862.0|1752.0|2647.0|3555.0|3751.0|4438.0|5341.0|6245.0|7232.0|7686.0
 2014|5|18-39|M|ETH|4|4|4|861.0|1752.0|2647.0|3556.0|3751.0|4440.0|5342.0|6243.0|7177.0|7591.0
 2014|1|18-39|M|ETH|3|3|3|862.0|1751.0|2646.0|3555.0|3750.0|4438.0|5341.0|6243.0|7177.0|7590.0
 2014|8|18-39|M|KEN|2|2|2|862.0|1752.0|2647.0|3556.0|3751.0|4440.0|5342.0|6214.0|7093.0|7495.0
 2014|2|18-39|M|KEN|1|1|1|862.0|1752.0|2646.0|3555.0|3751.0|4439.0|5342.0|6214.0|7092.0|7469.0
