year|bib|age_group|gender|city|state|country|overall|rank_gender|rank_age_group|5k|10k|15k|20k|half|25k|30k|35k|40k|finish
 2016|45135|60-64|W|Ft Worth|TX|USA|40554|18524|230|2270.0|5230.0|8700.0|NaN|NaN|NaN|NaN|NaN|23646.0|32557.0
 2016|55941|30-34|W|Roanoke|VA|USA|40553|18523|3354|2951.0|5906.0|9312.0|NaN|NaN|16675.0|NaN|NaN|NaN|31760.0
 2016|54423|45-49|W|Chicago|IL|USA|40552|18522|1917|2938.0|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|31737.0
 2016|55078|40-44|W|Country Club Hills|IL|USA|40551|18521|2686|3469.0|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|31661.0
 2016|51068|30-34|W|Cincinnati|OH|USA|40549|18520|3353|6430.0|8946.0|11580.0|14718.0|15451.0|18453.0|22211.0|NaN|29531.0|31400.0
 2016|54937|45-49|W|Mchenry|IL|USA|40548|18519|1916|2793.0|5926.0|8970.0|NaN|NaN|NaN|NaN|NaN|NaN|31387.0
 2016|52419|30-34|W|Bedford Park|IL|USA|40545|18518|3352|2851.0|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|31073.0
 2016|53755|50-54|W|Chicago|IL|USA|40544|18517|1180|3019.0|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|30906.0
 2016|52584|25-29|W|Las Vegas|NV|USA|40542|18516|3669|2363.0|5061.0|8037.0|11451.0|12300.0|15157.0|19465.0|NaN|NaN|30671.0
 2016|57911|25-29|W|Crystal Lake|IL|USA|40540|18515|3668|2701.0|5636.0|8614.0|11962.0|12700.0|15472.0|19664.0|24314.0|28835.0|30592.0
 2016|53635|55-59|W|Cliffside Park|NJ|USA|40538|18514|571|2791.0|5745.0|8863.0|NaN|NaN|16193.0|NaN|NaN|NaN|30505.0
 2016|55529|55-59|W|Bristol|VA|USA|40536|18513|570|2771.0|5953.0|8997.0|NaN|NaN|16195.0|NaN|NaN|NaN|30393.0
 2016|52155|50-54|W|Chicago|IL|HKG|40535|18512|1179|2618.0|5519.0|8806.0|NaN|13302.0|16318.0|19953.0|NaN|NaN|30310.0
 2016|55396|40-44|W|West Plains|MO|USA|40534|18511|2685|2704.0|5655.0|8907.0|NaN|NaN|15955.0|NaN|NaN|NaN|30295.0
 2016|50812|45-49|W|Portland|OR|USA|40533|18510|1915|0.0|0.0|0.0|12908.0|NaN|NaN|NaN|NaN|NaN|30211.0
 2016|43869|40-44|W|Milwaukie|OR|USA|40531|18509|2684|0.0|4767.0|NaN|NaN|NaN|NaN|NaN|NaN|28293.0|30209.0
