year|bib|age_group|gender|country|overall|rank_gender|rank_age_group|5k|10k|15k|20k|half|25k|30k|35k|40k|finish
 2014|114|40-44|W|GBR|31|13|1|1083.0|2201.0|3314.0|4415.0|4655.0|5505.0|6620.0|7742.0|8874.0|9365.0
 2014|113|18-39|W|GBR|30|12|12|1083.0|2201.0|3314.0|4406.0|4639.0|5474.0|6558.0|7645.0|8756.0|9260.0
 2014|112|18-39|W|BDI|29|11|11|1024.0|2055.0|3098.0|4146.0|4370.0|5173.0|6244.0|7370.0|8606.0|9181.0
 2014|118|18-39|W|JPN|28|10|10|1024.0|2056.0|3098.0|4146.0|4371.0|5187.0|6296.0|7428.0|8609.0|9120.0
 2014|117|18-39|W|UKR|27|9|9|1009.0|2018.0|3049.0|4092.0|4318.0|5124.0|6189.0|7306.0|8513.0|9091.0
 2014|102|18-39|W|ETH|26|8|8|1005.0|1973.0|3024.0|4059.0|4282.0|5105.0|6189.0|7270.0|8352.0|8818.0
 2014|110|18-39|W|POR|25|7|7|1030.0|2068.0|3101.0|4143.0|4365.0|5168.0|6210.0|7262.0|8331.0|8806.0
 2014|108|18-39|W|POR|24|6|6|1030.0|2061.0|3095.0|4135.0|4353.0|5134.0|6153.0|7187.0|8220.0|8665.0
 2014|105|18-39|W|ETH|22|5|5|1006.0|1969.0|2956.0|3978.0|4197.0|4989.0|6009.0|7039.0|8127.0|8601.0
 2014|106|18-39|W|ETH|21|4|4|1006.0|1968.0|2955.0|3977.0|4197.0|4988.0|6009.0|7033.0|8057.0|8502.0
 2014|115|18-39|W|ETH|20|3|3|1006.0|1968.0|2946.0|3939.0|4157.0|4939.0|5954.0|6979.0|7999.0|8435.0
 2014|103|18-39|W|KEN|19|2|2|1005.0|1968.0|2946.0|3939.0|4156.0|4939.0|5951.0|6967.0|7982.0|8424.0
 2014|104|18-39|W|KEN|18|1|1|1006.0|1968.0|2946.0|3939.0|4157.0|4940.0|5951.0|6967.0|7983.0|8421.0
