year|bib|age_group|gender|country|rank_gender|rank_age_group|5k|10k|15k|20k|half|25k|30k|35k|40k|finish
 2015|F4607|45-49|W|GER|3730|612|1608.0|3259.0|4919.0|6619.0|6988.0|8412.0|10290.0|12380.0|14394.0|15275.0
 2015|F9649|45-49|W|BRA|3729|611|1806.0|3605.0|5389.0|7125.0|7507.0|8915.0|10720.0|12569.0|14474.0|15275.0
 2015|F11432|50-54|W|ITA|3728|352|1624.0|3281.0|4944.0|6717.0|7120.0|8556.0|10419.0|12441.0|14467.0|15275.0
 2015|F7677|40-44|W|FRA|3727|734|1778.0|3550.0|5286.0|7067.0|7439.0|8806.0|10594.0|12507.0|14460.0|15274.0
 2015|F12046|40-44|W|NED|3726|733|1765.0|3636.0|5458.0|7274.0|7691.0|9114.0|10935.0|12740.0|14503.0|15272.0
 2015|F10745|30-34|W|GER|3725|655|1752.0|3494.0|5218.0|6945.0|7330.0|8703.0|10522.0|12365.0|14395.0|15272.0
 2015|F5903|30-34|W|GER|3724|654|1605.0|3258.0|4953.0|6719.0|7110.0|8570.0|10466.0|12410.0|14459.0|15271.0
 2015|F6885|50-54|W|GER|3723|351|1632.0|3279.0|4946.0|6681.0|7050.0|8466.0|10335.0|12284.0|14393.0|15270.0
 2015|F4209|35-39|W|GER|3722|605|1810.0|3545.0|5326.0|7122.0|7500.0|8887.0|10710.0|12520.0|14441.0|15270.0
 2015|F7892|40-44|W|FRA|3721|732|1783.0|3550.0|5422.0|7171.0|7552.0|8963.0|10762.0|12634.0|14491.0|15270.0
 2015|F10424|H|W|POL|3720|599|1753.0|3579.0|5414.0|7237.0|7631.0|9085.0|10911.0|12704.0|14528.0|15269.0
 2015|F4725|30-34|W|NED|3719|653|1805.0|3635.0|5338.0|7012.0|7374.0|8863.0|10804.0|12645.0|14505.0|15269.0
 2015|F12408|30-34|W|GER|3718|652|1766.0|3530.0|5311.0|7107.0|7499.0|8952.0|10802.0|12641.0|14501.0|15268.0
 2015|F8642|H|W|SUI|3717|598|1790.0|3631.0|5412.0|7191.0|7583.0|9003.0|10803.0|12621.0|14500.0|15267.0
 2015|F10907|H|W|JPN|3716|597|1829.0|3674.0|5363.0|7089.0|7461.0|8860.0|10665.0|12446.0|14430.0|15265.0
 2015|F9745|45-49|W|GER|3715|610|1749.0|3517.0|5280.0|7071.0|7459.0|8908.0|10719.0|12558.0|14421.0|15265.0
 2015|F2422|45-49|W|RSA|3714|609|1741.0|3505.0|5250.0|7022.0|7404.0|8870.0|10695.0|12567.0|14477.0|15263.0
 2015|F1931|35-39|W|NED|3713|604|1819.0|3601.0|5390.0|7185.0|7571.0|8978.0|10793.0|12642.0|14497.0|15263.0
 2015|F12530|30-34|W|GER|3712|651|1632.0|3300.0|4995.0|6692.0|7060.0|8422.0|10238.0|12246.0|14412.0|15261.0
 2015|F10403|40-44|W|GBR|3711|731|1678.0|3405.0|5149.0|6928.0|7320.0|8803.0|10693.0|12570.0|14474.0|15259.0
 2015|F12279|30-34|W|BRA|3710|650|1814.0|3592.0|5342.0|7103.0|7490.0|8901.0|10743.0|12536.0|14425.0|15258.0
 2015|F4907|50-54|W|DEN|3709|350|1713.0|3403.0|5118.0|6836.0|7215.0|8625.0|10502.0|12419.0|14434.0|15257.0
 2015|F5953|55-59|W|SRB|3708|132|1769.0|3582.0|5401.0|7172.0|7561.0|8969.0|10802.0|12625.0|14491.0|15257.0
 2015|F2333|H|W|GBR|3707|596|1879.0|3757.0|5601.0|7468.0|7871.0|9328.0|11170.0|12865.0|14541.0|15256.0
