year|bib|age_group|gender|country|overall|rank_gender|rank_age_group|5k|10k|15k|20k|half|25k|30k|35k|40k|finish
 2015|123|18-39|W|GBR|39|18|17|1069.0|2143.0|3225.0|4323.0|4569.0|5442.0|6606.0|7743.0|8903.0|9411.0
 2015|121|45-49|W|GBR|38|17|1|1079.0|2152.0|3251.0|4359.0|4604.0|5490.0|6613.0|7733.0|8852.0|9341.0
 2015|117|18-39|W|NZL|37|16|16|1049.0|2101.0|3168.0|4241.0|4477.0|5325.0|6423.0|7560.0|8738.0|9262.0
 2015|120|18-39|W|GBR|36|15|15|1053.0|2101.0|3168.0|4241.0|4477.0|5326.0|6422.0|7519.0|8623.0|9106.0
 2015|114|18-39|W|ESP|35|14|14|1026.0|2053.0|3081.0|4110.0|4340.0|5164.0|6238.0|7335.0|8479.0|8985.0
 2015|111|18-39|W|RUS|34|13|13|1053.0|2100.0|3158.0|4214.0|4443.0|5253.0|6312.0|7378.0|8453.0|8922.0
 2015|119|18-39|W|BDI|33|12|12|1025.0|2042.0|3069.0|4094.0|4320.0|5132.0|6158.0|7212.0|8336.0|8870.0
 2015|116|18-39|W|POL|32|11|11|1025.0|2042.0|3069.0|4095.0|4320.0|5131.0|6202.0|7291.0|8387.0|8867.0
 2015|101|18-39|W|KEN|31|10|10|1015.0|2003.0|3054.0|4088.0|4304.0|5131.0|6159.0|7225.0|8336.0|8836.0
 2015|122|18-39|W|BLR|29|9|9|1053.0|2100.0|3158.0|4214.0|4443.0|5244.0|6277.0|7295.0|8296.0|8736.0
 2015|112|18-39|W|POR|28|8|8|1025.0|2053.0|3081.0|4106.0|4332.0|5131.0|6156.0|7200.0|8247.0|8715.0
 2015|105|18-39|W|KEN|27|7|7|1015.0|2003.0|3053.0|4086.0|4303.0|5131.0|6156.0|7199.0|8229.0|8701.0
 2015|108|18-39|W|KEN|26|6|6|1014.0|2002.0|3053.0|4087.0|4303.0|5131.0|6156.0|7199.0|8203.0|8663.0
 2015|104|18-39|W|KEN|25|5|5|1014.0|2002.0|3053.0|4086.0|4303.0|5130.0|6156.0|7198.0|8196.0|8655.0
 2015|103|18-39|W|ETH|24|4|4|1014.0|2002.0|3053.0|4086.0|4302.0|5130.0|6156.0|7198.0|8187.0|8633.0
 2015|106|18-39|W|ETH|23|3|3|1015.0|2003.0|3053.0|4086.0|4303.0|5130.0|6156.0|7198.0|8183.0|8621.0
 2015|102|18-39|W|KEN|22|2|2|1014.0|2002.0|3053.0|4087.0|4303.0|5131.0|6156.0|7199.0|8183.0|8620.0
 2015|109|18-39|W|ETH|21|1|1|1014.0|2002.0|3053.0|4086.0|4303.0|5129.0|6156.0|7198.0|8172.0|8602.0
