year|bib|age_group|gender|country|overall|rank_gender|rank_age_group|5k|10k|15k|20k|half|25k|30k|35k|40k|finish
 2015|26178|18-39|M|GBR|37597|23221|12028|2805.0|5903.0|9083.0|12339.0|13061.0|15942.0|0.0|0.0|0.0|32293.0
 2015|43807|40-44|M|GBR|37596|23220|4094|2979.0|6157.0|9403.0|0.0|0.0|0.0|0.0|0.0|0.0|31843.0
 2015|43361|18-39|M|GBR|37595|23219|12027|3049.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|31727.0
 2015|35196|45-49|M|GBR|37594|23218|3107|3188.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|30050.0
 2015|54473|40-44|M|GBR|37590|23217|4093|2512.0|5053.0|7825.0|0.0|0.0|15448.0|0.0|0.0|0.0|29607.0
 2015|54465|18-39|M|GBR|37589|23216|12026|2512.0|5053.0|7807.0|11005.0|11594.0|13344.0|16354.0|0.0|0.0|29607.0
 2015|46805|70+|M|GBR|37588|23215|149|2976.0|6037.0|9332.0|0.0|0.0|0.0|0.0|0.0|0.0|29554.0
 2015|32652|18-39|M|GBR|37584|23214|12025|2648.0|5620.0|9011.0|0.0|0.0|0.0|0.0|0.0|0.0|29053.0
 2015|12220|70+|M|GBR|37580|23213|148|3104.0|6259.0|9648.0|0.0|0.0|0.0|0.0|0.0|0.0|28803.0
 2015|17186|18-39|M|GBR|37578|23212|12024|2523.0|5277.0|8320.0|11920.0|12638.0|15366.0|0.0|0.0|0.0|28683.0
 2015|7118|45-49|M|GBR|37576|23211|3106|1923.0|3896.0|6033.0|8549.0|9208.0|12168.0|16841.0|21859.0|0.0|28419.0
 2015|25807|18-39|M|GBR|37573|23210|12023|1986.0|4099.0|6341.0|9063.0|9789.0|12683.0|16268.0|20740.0|0.0|28345.0
 2015|40857|50-54|M|GBR|37570|23209|2073|2301.0|5014.0|8486.0|11587.0|12315.0|15322.0|0.0|0.0|0.0|28198.0
 2015|52032|18-39|M|GBR|37568|23208|12022|1243.0|2521.0|3825.0|5140.0|5431.0|6500.0|8179.0|0.0|0.0|28063.0
 2015|52065|18-39|M|GBR|37564|23207|12021|2024.0|4182.0|6745.0|10112.0|10840.0|14285.0|0.0|0.0|0.0|27891.0
 2015|37600|45-49|M|GBR|37560|23206|3105|2582.0|5754.0|8686.0|0.0|0.0|15480.0|0.0|0.0|0.0|27813.0
 2015|39962|45-49|M|GBR|37558|23205|3104|2582.0|5754.0|8686.0|0.0|0.0|15479.0|0.0|0.0|0.0|27812.0
 2015|37496|18-39|M|GBR|37557|23204|12020|3068.0|6108.0|9312.0|0.0|0.0|0.0|0.0|0.0|0.0|27809.0
 2015|18249|55-59|M|GBR|37556|23203|965|2321.0|5005.0|7932.0|11331.0|12363.0|15239.0|0.0|0.0|0.0|27761.0
 2015|35102|18-39|M|GBR|37554|23202|12019|2357.0|5017.0|7775.0|11063.0|11793.0|14657.0|0.0|0.0|0.0|27751.0
 2015|39691|50-54|M|GBR|37553|23201|2072|2592.0|5763.0|8774.0|12024.0|12728.0|15293.0|0.0|0.0|0.0|27739.0
 2015|39681|70+|M|GBR|37552|23200|147|2741.0|5772.0|8774.0|12024.0|12729.0|15327.0|0.0|0.0|0.0|27738.0
 2015|42554|55-59|M|GBR|37551|23199|964|3043.0|0.0|9057.0|0.0|0.0|0.0|0.0|0.0|0.0|27736.0
 2015|57675|70+|M|NOR|37549|23198|146|2344.0|5002.0|7928.0|11173.0|11890.0|14839.0|18264.0|0.0|0.0|27713.0
 2015|35798|45-49|M|GBR|37544|23197|3103|2733.0|5549.0|8599.0|0.0|0.0|15284.0|0.0|0.0|0.0|27616.0
 2015|10630|50-54|M|GBR|37543|23196|2071|2298.0|5040.0|8013.0|11740.0|12407.0|14925.0|0.0|0.0|0.0|27571.0
 2015|10123|45-49|M|GBR|37542|23195|3102|1704.0|3394.0|5168.0|7070.0|7498.0|9178.0|11782.0|16423.0|24279.0|27559.0
 2015|47465|60-64|M|AUS|37540|23194|517|2366.0|4832.0|7489.0|10810.0|11541.0|14518.0|18288.0|0.0|0.0|27546.0
 2015|5227|70+|M|GBR|37538|23193|145|2435.0|5553.0|8890.0|0.0|0.0|15874.0|0.0|0.0|0.0|27506.0
 2015|22737|50-54|M|GBR|37536|23192|2070|2215.0|4873.0|7939.0|11198.0|11941.0|14517.0|18069.0|21784.0|0.0|27432.0
 2015|42848|18-39|M|GBR|37533|23191|12018|2350.0|5700.0|8975.0|0.0|0.0|15954.0|0.0|0.0|0.0|27358.0
 2015|51169|18-39|M|GBR|37529|23190|12017|2997.0|6083.0|9322.0|0.0|0.0|0.0|0.0|0.0|0.0|27286.0
 2015|43534|18-39|M|GBR|37528|23189|12016|3007.0|6081.0|9319.0|0.0|0.0|0.0|0.0|0.0|0.0|27281.0
 2015|25972|40-44|M|GBR|37526|23188|4092|2239.0|5038.0|8000.0|11168.0|11755.0|14854.0|18209.0|21756.0|0.0|27221.0
 2015|26036|45-49|M|GBR|37523|23187|3101|2415.0|5101.0|8082.0|11337.0|12144.0|14778.0|18263.0|21777.0|0.0|27189.0
