year|bib|age_group|gender|city|state|country|overall|rank_gender|rank_age_group|5k|10k|15k|20k|half|25k|30k|35k|40k|finish
 2017|6010|35-39|M|Nuremberg|BAVARIA|GER|1497|1327|288|1354.0|2649.0|3969.0|5290.0|5583.0|6616.0|7939.0|9279.0|10680.0|11279.0
 2017|714|45-49|M|Costa Teguise||ESP|1496|1326|111|1277.0|2548.0|3834.0|5143.0|5434.0|6466.0|7802.0|9184.0|10644.0|11279.0
 2017|4196|40-44|M|Naperville|IL|USA|1495|1325|255|1190.0|2398.0|3632.0|4897.0|5183.0|6226.0|7636.0|9124.0|10672.0|11279.0
 2017|4394|40-44|M|Toronto|ON|CAN|1493|1324|254|1297.0|2591.0|3885.0|5192.0|5479.0|6512.0|NaN|9255.0|10697.0|11277.0
 2017|10096|35-39|M|Brooklyn|NY|USA|1491|1323|287|1296.0|2625.0|3941.0|5268.0|5560.0|6608.0|7935.0|9268.0|10628.0|11276.0
 2017|2269|40-44|M|Dordrecht||NED|1490|1322|253|1241.0|2465.0|3717.0|4975.0|5259.0|6265.0|7616.0|9042.0|10624.0|11276.0
 2017|9179|40-44|M|Indianapolis|IN|USA|1489|1321|252|1332.0|2686.0|4045.0|5372.0|5669.0|6703.0|8038.0|9358.0|10710.0|11275.0
 2017|10026|35-39|M|Olivette|MO|USA|1488|1320|286|1336.0|2662.0|3982.0|5307.0|5599.0|6625.0|7955.0|9288.0|10680.0|11272.0
 2017|7593|35-39|M|Sao Caetano Do Sul|SAO PAULO|BRA|1487|1319|285|1374.0|2737.0|4033.0|5326.0|5614.0|6635.0|7945.0|9303.0|10700.0|11272.0
 2017|4455|35-39|M|Sevilla|SEVILLA|ESP|1486|1318|284|1340.0|2647.0|3957.0|5254.0|5542.0|6559.0|7877.0|9226.0|10645.0|11272.0
 2017|5166|30-34|M|Ballwin|MO|USA|1484|1317|288|1254.0|2520.0|3735.0|4954.0|5223.0|6189.0|7471.0|8986.0|10613.0|11271.0
 2017|8343|30-34|M|Pohang-Si|GYEONGSANGBUK-DO|LAT|1483|1316|287|1286.0|2588.0|3868.0|5157.0|5445.0|6480.0|7827.0|9198.0|10673.0|11269.0
 2017|4442|45-49|M|Orlando|FL|BRA|1482|1315|110|1385.0|2769.0|4143.0|5528.0|5827.0|6866.0|8175.0|9469.0|10758.0|11269.0
 2017|4029|40-44|M|Philadelphia|PA|MEX|1481|1314|251|1292.0|2556.0|3818.0|5103.0|5390.0|6382.0|7680.0|9106.0|10607.0|11269.0
 2017|4575|40-44|M|Belo Horizonte|MINAS GERAIS|BRA|1480|1313|250|1251.0|2506.0|3781.0|5073.0|5353.0|6385.0|7732.0|9106.0|10628.0|11268.0
 2017|9044|25-29|M|Sugarloaf|PA|USA|1479|1312|240|1355.0|2691.0|4043.0|5394.0|5691.0|6736.0|8085.0|9407.0|10718.0|11267.0
 2017|3594|40-44|M|Lima|LIMA|PER|1478|1311|249|1315.0|2636.0|3946.0|5247.0|5529.0|6550.0|7870.0|9229.0|10664.0|11266.0
 2017|3317|35-39|M|Sao Paulo|SP|BRA|1477|1310|283|1257.0|2535.0|3806.0|5105.0|5393.0|6456.0|7872.0|9252.0|10677.0|11266.0
 2017|1311|16-19|M|Annapolis|MD|USA|1476|1309|4|1229.0|2465.0|3683.0|4942.0|5218.0|6229.0|7567.0|8987.0|10669.0|11266.0
 2017|1239|30-34|M|Saskatoon|SK|CAN|1475|1308|286|1272.0|2527.0|3788.0|5046.0|5324.0|6313.0|7658.0|9081.0|10725.0|11266.0
 2017|11226|40-44|M|New York|NY|USA|1474|1307|248|1283.0|2541.0|3810.0|5083.0|5365.0|6361.0|7649.0|8999.0|10654.0|11264.0
 2017|4436|40-44|M|Moscow|MOSCOW|RUS|1472|1306|247|1315.0|2666.0|3951.0|5264.0|5554.0|6602.0|7937.0|9297.0|10691.0|11262.0
