year|bib|age_group|gender|country|overall|rank_gender|rank_age_group|5k|10k|15k|20k|half|25k|30k|35k|40k|finish
 2017|127|18-39|W|IRL|57|26|25|1077.0|2180.0|3316.0|4493.0|4746.0|5676.0|6886.0|8151.0|9471.0|10056.0
 2017|117|40-44|W|CAN|56|25|1|1045.0|2099.0|3182.0|4307.0|4554.0|5456.0|6650.0|7895.0|9229.0|9811.0
 2017|132|18-39|W|GBR|55|24|24|1082.0|2191.0|3293.0|4405.0|4650.0|5535.0|6696.0|7922.0|9193.0|9758.0
 2017|131|18-39|W|AUS|54|23|23|1045.0|2100.0|3175.0|4285.0|4528.0|5407.0|6577.0|7765.0|9007.0|9567.0
 2017|125|18-39|W|GBR|53|22|22|1057.0|2141.0|3230.0|4330.0|4568.0|5441.0|6582.0|7746.0|8947.0|9491.0
 2017|122|18-39|W|GBR|52|21|21|1046.0|2098.0|3157.0|4256.0|4500.0|5379.0|6535.0|7729.0|8944.0|9471.0
 2017|128|18-39|W|BEL|51|20|20|1078.0|2180.0|3293.0|4405.0|4648.0|5510.0|6621.0|7741.0|8918.0|9448.0
 2017|124|18-39|W|AUS|49|19|19|1045.0|2104.0|3189.0|4290.0|4530.0|5396.0|6518.0|7659.0|8816.0|9325.0
 2017|126|18-39|W|GBR|48|18|18|1065.0|2140.0|3223.0|4314.0|4545.0|5406.0|6518.0|7642.0|8761.0|9236.0
 2017|111|18-39|W|NED|47|17|17|1045.0|2098.0|3148.0|4209.0|4441.0|5267.0|6373.0|7481.0|8596.0|9092.0
 2017|123|18-39|W|GBR|46|16|16|1045.0|2098.0|3156.0|4219.0|4448.0|5276.0|6355.0|7445.0|8556.0|9042.0
 2017|121|18-39|W|GBR|45|15|15|1045.0|2098.0|3148.0|4209.0|4441.0|5263.0|6324.0|7391.0|8476.0|8963.0
 2017|119|18-39|W|GBR|44|14|14|1045.0|2097.0|3127.0|4178.0|4401.0|5229.0|6301.0|7377.0|8469.0|8946.0
 2017|118|18-39|W|USA|43|13|13|1010.0|2041.0|3084.0|4146.0|4377.0|5218.0|6287.0|7367.0|8458.0|8931.0
 2017|114|18-39|W|LTU|42|12|12|1045.0|2103.0|3156.0|4217.0|4444.0|5264.0|6323.0|7391.0|8457.0|8928.0
 2017|106|18-39|W|ETH|41|11|11|942.0|1898.0|2918.0|3969.0|4197.0|5028.0|6103.0|7209.0|8348.0|8847.0
 2017|113|18-39|W|AUS|40|10|10|1009.0|2038.0|3084.0|4136.0|4363.0|5175.0|6223.0|7288.0|8356.0|8821.0
 2017|104|18-39|W|KEN|39|9|9|942.0|1891.0|2865.0|3873.0|4097.0|4933.0|6036.0|7178.0|8285.0|8785.0
 2017|109|18-39|W|ETH|38|8|8|948.0|1956.0|2993.0|4030.0|4259.0|5083.0|6145.0|7221.0|8274.0|8752.0
 2017|108|18-39|W|KEN|37|7|7|942.0|1892.0|2865.0|3853.0|4073.0|4848.0|5845.0|6907.0|8121.0|8739.0
 2017|115|18-39|W|USA|36|6|6|1010.0|2038.0|3084.0|4134.0|4356.0|5151.0|6178.0|7226.0|8273.0|8738.0
 2017|110|18-39|W|AUS|35|5|5|1010.0|2038.0|3084.0|4124.0|4346.0|5151.0|6181.0|7224.0|8270.0|8715.0
 2017|130|18-39|W|KEN|30|4|4|941.0|1885.0|2863.0|3853.0|4074.0|4869.0|5930.0|7025.0|8141.0|8630.0
 2017|103|18-39|W|ETH|29|3|3|941.0|1892.0|2866.0|3853.0|4074.0|4851.0|5901.0|6982.0|8079.0|8588.0
 2017|107|18-39|W|ETH|22|2|2|942.0|1891.0|2865.0|3853.0|4074.0|4851.0|5843.0|6836.0|7850.0|8276.0
 2017|102|18-39|W|KEN|20|1|1|931.0|1877.0|2835.0|3806.0|4014.0|4783.0|5765.0|6759.0|7778.0|8221.0
