year|bib|age_group|gender|country|overall|rank_gender|rank_age_group|5k|10k|15k|20k|half|25k|30k|35k|40k|finish
 2017|36|18-39|M|ARG|50|31|31|932.0|1911.0|2929.0|3942.0|4155.0|4928.0|5946.0|7042.0|8735.0|9411.0
 2017|19|18-39|M|GBR|34|30|30|933.0|1882.0|2835.0|3793.0|4002.0|4746.0|5737.0|6824.0|8083.0|8651.0
 2017|22|18-39|M|GBR|33|29|29|919.0|1859.0|2814.0|3772.0|3981.0|4746.0|5721.0|6866.0|8083.0|8651.0
 2017|34|18-39|M|GBR|32|28|28|931.0|1882.0|2834.0|3792.0|4001.0|4776.0|5906.0|7097.0|8173.0|8642.0
 2017|28|18-39|M|GBR|31|27|27|932.0|1883.0|2836.0|3794.0|4003.0|4759.0|5798.0|6967.0|8134.0|8633.0
 2017|26|18-39|M|GBR|28|26|26|931.0|1890.0|2858.0|3821.0|4030.0|4785.0|5758.0|6771.0|7918.0|8473.0
 2017|32|18-39|M|GBR|27|25|25|930.0|1889.0|2858.0|3821.0|4030.0|4784.0|5781.0|6834.0|7911.0|8376.0
 2017|7|18-39|M|ETH|26|24|24|852.0|1732.0|2620.0|3511.0|3702.0|4395.0|5380.0|6515.0|7758.0|8333.0
 2017|30|18-39|M|GBR|25|23|23|919.0|1858.0|2792.0|3726.0|3928.0|4654.0|5611.0|6646.0|7765.0|8328.0
 2017|24|18-39|M|IRL|24|22|22|931.0|1882.0|2835.0|3793.0|4001.0|4746.0|5722.0|6748.0|7826.0|8314.0
 2017|25|18-39|M|ISR|23|21|21|952.0|1931.0|2914.0|3897.0|4109.0|4874.0|5859.0|6866.0|7879.0|8313.0
 2017|23|18-39|M|IRL|21|20|20|932.0|1889.0|2858.0|3821.0|4029.0|4764.0|5716.0|6708.0|7742.0|8228.0
 2017|17|18-39|M|GBR|19|19|19|931.0|1882.0|2834.0|3792.0|4001.0|4744.0|5702.0|6699.0|7741.0|8214.0
 2017|33|18-39|M|MEX|18|18|18|931.0|1882.0|2834.0|3793.0|4001.0|4745.0|5704.0|6701.0|7729.0|8198.0
 2017|3|18-39|M|ETH|17|17|17|852.0|1752.0|2663.0|3571.0|3765.0|4478.0|5475.0|6530.0|7640.0|8169.0
 2017|31|18-39|M|GBR|16|16|16|932.0|1890.0|2859.0|3821.0|4030.0|4785.0|5757.0|6725.0|7683.0|8111.0
 2017|27|18-39|M|GBR|15|15|15|932.0|1882.0|2835.0|3793.0|4001.0|4744.0|5701.0|6670.0|7663.0|8104.0
 2017|15|18-39|M|FRA|14|14|14|909.0|1846.0|2772.0|3701.0|3898.0|4638.0|5602.0|6608.0|7640.0|8095.0
 2017|14|18-39|M|ERI|13|13|13|909.0|1846.0|2772.0|3701.0|3897.0|4638.0|5595.0|6608.0|7640.0|8092.0
 2017|4|18-39|M|ETH|12|12|12|853.0|1732.0|2622.0|3511.0|3701.0|4390.0|5301.0|6288.0|7468.0|8052.0
 2017|12|18-39|M|ESP|11|11|11|909.0|1847.0|2772.0|3701.0|3898.0|4638.0|5590.0|6518.0|7496.0|7950.0
 2017|18|18-39|M|AUS|10|10|10|918.0|1859.0|2792.0|3727.0|3928.0|4653.0|5590.0|6522.0|7470.0|7898.0
 2017|13|18-39|M|ESP|9|9|9|909.0|1846.0|2771.0|3701.0|3898.0|4638.0|5589.0|6517.0|7449.0|7855.0
 2017|9|18-39|M|ERI|8|8|8|853.0|1732.0|2622.0|3511.0|3704.0|4412.0|5343.0|6319.0|7355.0|7844.0
 2017|10|18-39|M|ETH|7|7|7|852.0|1731.0|2620.0|3510.0|3701.0|4396.0|5322.0|6282.0|7325.0|7804.0
 2017|8|18-39|M|ERI|6|6|6|852.0|1731.0|2620.0|3511.0|3704.0|4395.0|5301.0|6249.0|7296.0|7797.0
 2017|11|18-39|M|TAN|5|5|5|875.0|1771.0|2670.0|3571.0|3765.0|4478.0|5394.0|6342.0|7308.0|7750.0
 2017|5|18-39|M|KEN|4|4|4|853.0|1732.0|2622.0|3512.0|3703.0|4391.0|5301.0|6236.0|7211.0|7665.0
 2017|35|18-39|M|KEN|3|3|3|852.0|1732.0|2621.0|3511.0|3702.0|4391.0|5301.0|6232.0|7196.0|7661.0
 2017|1|18-39|M|ETH|2|2|2|852.0|1731.0|2620.0|3511.0|3704.0|4396.0|5318.0|6236.0|7158.0|7557.0
 2017|6|18-39|M|KEN|1|1|1|852.0|1732.0|2621.0|3511.0|3703.0|4390.0|5301.0|6222.0|7149.0|7548.0
