year|bib|age_group|gender|country|overall|rank_gender|rank_age_group|5k|10k|15k|20k|half|25k|30k|35k|40k|finish
 2016|39|18-39|M|AUS|36|27|26|954.0|1900.0|2844.0|3803.0|4024.0|4837.0|5952.0|7131.0|8367.0|8919.0
 2016|36|18-39|M|GBR|29|26|25|919.0|1840.0|2760.0|3703.0|3913.0|4671.0|5741.0|6959.0|8112.0|8632.0
 2016|8|18-39|M|ETH|25|25|24|856.0|1717.0|2597.0|3491.0|3688.0|4438.0|5524.0|6693.0|7972.0|8537.0
 2016|33|18-39|M|IRL|24|24|23|941.0|1892.0|2843.0|3778.0|3987.0|4718.0|5728.0|6835.0|7968.0|8439.0
 2016|14|18-39|M|MEX|23|23|22|954.0|1899.0|2843.0|3788.0|3999.0|4746.0|5759.0|6805.0|7905.0|8421.0
 2016|30|18-39|M|GBR|22|22|21|940.0|1892.0|2844.0|3802.0|4019.0|4790.0|5818.0|6861.0|7924.0|8383.0
 2016|23|18-39|M|CAN|21|21|20|925.0|1855.0|2811.0|3788.0|4003.0|4792.0|5786.0|6815.0|7846.0|8325.0
 2016|32|18-39|M|GBR|20|20|19|955.0|1924.0|2913.0|3896.0|4112.0|4879.0|5871.0|6851.0|7833.0|8265.0
 2016|24|18-39|M|GBR|19|19|18|940.0|1893.0|2845.0|3789.0|3999.0|4747.0|5728.0|6740.0|7759.0|8202.0
 2016|40|18-39|M|GBR|18|18|17|941.0|1893.0|2845.0|3789.0|3999.0|4747.0|5706.0|6676.0|7681.0|8138.0
 2016|38|18-39|M|GBR|17|17|16|955.0|1901.0|2843.0|3788.0|3998.0|4745.0|5706.0|6677.0|7677.0|8132.0
 2016|20|18-39|M|GBR|16|16|15|925.0|1855.0|2789.0|3727.0|3937.0|4675.0|5636.0|6643.0|7659.0|8105.0
 2016|12|40-44|M|UKR|15|15|1|919.0|1840.0|2765.0|3712.0|3922.0|4657.0|5628.0|6626.0|7621.0|8047.0
 2016|26|18-39|M|GBR|14|14|14|940.0|1892.0|2843.0|3778.0|3987.0|4717.0|5658.0|6605.0|7558.0|7977.0
 2016|17|18-39|M|UKR|13|13|13|918.0|1840.0|2765.0|3712.0|3920.0|4649.0|5602.0|6564.0|7529.0|7956.0
 2016|35|18-39|M|GBR|12|12|12|902.0|1812.0|2744.0|3680.0|3886.0|4614.0|5557.0|6503.0|7501.0|7943.0
 2016|22|18-39|M|JPN|11|11|11|919.0|1840.0|2759.0|3681.0|3886.0|4614.0|5557.0|6501.0|7487.0|7934.0
 2016|16|18-39|M|ERI|10|10|10|903.0|1813.0|2744.0|3680.0|3886.0|4614.0|5557.0|6502.0|7477.0|7916.0
 2016|2|18-39|M|KEN|9|9|9|856.0|1717.0|2598.0|3491.0|3690.0|4426.0|5427.0|6441.0|7457.0|7904.0
 2016|21|18-39|M|GBR|8|8|8|924.0|1854.0|2788.0|3724.0|3927.0|4640.0|5556.0|6485.0|7429.0|7852.0
 2016|6|18-39|M|ETH|7|7|7|857.0|1718.0|2649.0|3590.0|3809.0|4543.0|5473.0|6417.0|7392.0|7845.0
 2016|7|18-39|M|ETH|6|6|6|856.0|1717.0|2597.0|3491.0|3684.0|4392.0|5348.0|6371.0|7362.0|7787.0
 2016|3|18-39|M|KEN|5|5|5|856.0|1717.0|2597.0|3491.0|3685.0|4363.0|5293.0|6270.0|7256.0|7672.0
 2016|10|18-39|M|ERI|4|4|4|856.0|1717.0|2597.0|3491.0|3685.0|4373.0|5293.0|6270.0|7256.0|7666.0
 2016|5|18-39|M|ETH|3|3|3|856.0|1717.0|2597.0|3491.0|3684.0|4362.0|5245.0|6198.0|7173.0|7596.0
 2016|4|18-39|M|KEN|2|2|2|856.0|1717.0|2597.0|3491.0|3684.0|4360.0|5233.0|6127.0|7018.0|7431.0
 2016|1|18-39|M|KEN|1|1|1|856.0|1717.0|2597.0|3490.0|3684.0|4359.0|5233.0|6127.0|7009.0|7385.0
